Index,Symbol,Name,EgeriaScore,PortfolioWeight,YearlyReturn5YrAvg,P/E Ratio Norm,Price/Sales Norm,Beta Norm,Quick Ratio Norm,Debt/Equity Norm,EBIDTA Margin Norm,5 Year STD Norm,10 Year STD Norm,EBIDTA Avg Growth Rate Norm,Revenue Avg Growth Rate Norm,5 Year Return Norm,10 Year Return Norm,Yield Norm,Free Cashflow Growth Norm
001,NVO,"Novo Nordisk A/S",63.732,4.18,90.56,1.6202592770029287,-1.2118960642751537,1.9114901182839763,-0.7564056467537061,1.960975403759349,2.975307950968953,-0.6224395974344494,-0.732026390434716,1.793161249438601,1.5230582643174124,3,3,1.63,3
002,REGN,"Regeneron Pharmaceuticals, Inc.",53.239,3.84,32.31,-0.0002315083033481384,-3,3,3,1.994527337899596,1.5779739578568597,-1.9074237170595563,-2.0100884653559206,2.306355721895263,1.8427973347850923,3,0.6267212750228865,,3
003,PCAR,"PACCAR Inc",52.283,3.6,37.34,1.0498840587626799,0.13981778482923504,-0.5738504005572442,2.491566829268293,1.96858125299141,-0.044176340975990436,-0.8857612003256756,-0.7869863895655982,3,1.6669203728916826,3,1.625137614324373,1.48,3
004,DE,"Deere & Company",49.305,3.41,31.14,1.196257923256155,-0.22526615080858298,-0.9206751270149732,1.2706993960646797,1.9245343126004133,0.9394619585245734,-2.3228030536363935,-1.0778481347857172,3,1.0392373668477006,3,3,1.35,3
005,PGR,"The Progressive Corporation",44.086,3.25,43.15,-0.7147624254020317,-0.456310413757222,2.304522162420193,,1.9325212185174407,,-0.3914491064477863,0.3970653382414868,,-0.2651416693811566,3,3,2.01,0.8804112999076914
006,CPRT,"Copart, Inc.",39.873,3.12,44.74,-1.3053040385147474,-3,-2.4331393236019947,3,1.997493289285571,2.322407928892383,-2.2436232953036335,-1.1915315271682525,1.3595201438578521,1.1753351699545433,3,3,,3
007,WRB,"W. R. Berkley Corporation",38.815,3.01,27.33,0.7251384370252867,-0.19803882419610433,1.0094165966421542,,1.9202386072649589,,-1.0946890818764023,0.3725434428649326,,-0.10985824573748423,3,3,0.63,1.4851952215083188
008,NUE,"Nucor Corporation",38.219,2.92,53.04,1.2711804613009394,0.7316736250879943,-3,2.3896259643848774,1.9873769390172236,0.24710466397497605,-3,-3,3,2.2372955464900586,3,2.948541451794534,2.15,3
009,CF,"CF Industries Holdings, Inc.",38.182,2.84,20.05,1.3288232798017583,-0.935203500300228,-0.96235824182626,3,1.9789994752492566,2.9208264213542448,-3,-3,3,2.9271290715369576,2.009508916644986,-0.47703490947628874,2.43,3
010,V,"Visa Inc.",38.136,2.76,14.86,-0.6265961849848182,-3,-0.7997408965184355,0.1302277253441857,1.9732703379547154,3,-0.18577760072065175,0.7067673228368285,0.11925027036422726,-0.1107160089150799,0.9729251179219943,3,0.64,2.5286026932571053
011,GGG,"Graco Inc.",37.363,2.7,15.16,-0.48419011415526125,-3,0.06389875541273904,2.516143724696356,1.9955239959986062,1.1349613728510488,-0.4363277616034793,-0.30768025106841623,-0.36908107108011307,-0.9515447153946773,1.0314129852341274,2.11808839854363,1.17,3
012,NVDA,"NVIDIA Corporation",37.239,2.64,315.92,-3,-3,-3,3,1.9894131881427708,3,-3,-3,3,3,3,3,0.13,3
013,HWKN,"Hawkins, Inc.",36.987,2.59,65.01,0.23034814630149145,0.07738705013667213,0.2635041500098356,1.0112577169834163,1.9862566854086672,-0.5538907287455088,-3,-2.6445893163283625,1.0081152080755296,2.049621041437605,3,3,1.57,3
014,MPWR,"Monolithic Power Systems, Inc.",36.972,2.54,60.77,-3,-3,-1.7546224132575283,3,1.9962495079121865,0.8659163393869107,-3,-3,3,3,3,3,0.7,3
015,GWW,"W.W. Grainger, Inc.",35.187,2.5,49.16,-0.12955264787546678,-2.002625202179075,-1.7936856696631454,1.115237575095576,1.969784911717496,-0.2965165675446049,-1.2148626482677471,-0.9852897173649442,3,-0.6311252513396891,3,2.5484079372140473,1.43,2.2552604326276784
016,RSG,"Republic Services, Inc.",35.132,2.46,32.17,-0.9973325816066482,-3,0.49816788476664875,-0.9909419861410023,1.9604135719909317,0.8727321327140897,0.577751327455621,1.4077262560221873,-0.04117846040518565,-0.22541790116286542,3,3,1.54,0.17661514059290512
017,META,"Meta Platforms, Inc.",34.672,2.42,32.48,-0.7597497982085464,-3,-1.7920727835439254,3,1.9900168442494515,2.3773582108360944,-3,-3,1.3458824588298703,0.45004834168291835,3,3,,3
018,ACGL,"Arch Capital Group Ltd.",34.652,2.39,37.31,1.497911208216187,-1.705975603094572,1.0777206552819578,,1.9558099493270857,,-3,-0.35857406610751497,,0.566679128251856,3,3,,2.4293508060582596
019,ADI,"Analog Devices, Inc.",34.109,2.35,15.89,-0.8147483418745433,-3,-1.5296198941387151,-0.4830884128597228,1.9925604888969592,2.8062226647222097,-1.8773032200305924,-1.2465038088891314,3,3,1.1783575378522402,2.4606558536627685,1.81,2.456622141527286
020,VRTX,"Vertex Pharmaceuticals Incorporated",34.083,2.32,25.61,-0.3986792960639058,-3,2.175705722591745,3,1.9941414302291187,2.666234345235682,-1.226783621921916,-2.4110205170512478,0.1179545476925103,0.36470620948202637,3,3,,-1.2026876839125855
021,COR,"Cencora, Inc.",33.952,2.3,49.4,-0.13005939708801184,2.93328479579493,1.546634883848244,-1.0342136598819467,-0.3713449539562032,-1.8634609312726549,0.15099520892967888,-0.3468759256856746,0.30558315205051445,-0.7286960877690405,3,2.330694342025808,1.44,2.1188968787025724
022,CAT,"Caterpillar Inc.",33.412,2.27,36.64,0.6163767262158236,-1.7475412448012888,-1.5252314650236287,-0.5142824234047454,1.9302626449163844,0.341932597673725,-3,-1.89380376655226,3,0.43508212483779685,3,2.7266781964555533,2.32,3
023,UFPI,"UFP Industries, Inc.",33.301,2.25,56.7,0.9465039967697687,1.4149642251762882,-3,3,1.9935489727348277,-0.8695904789770121,-3,-3,3,0.6009973548018337,3,3,0.98,3
024,MRK,"Merck & Co., Inc.",33.144,2.22,21.55,-3,-3,1.9395355992695131,-0.6423289483926209,1.9632580293233284,-0.8510164021692119,0.17371329300864335,0.36855892569505055,0.13532446464453612,-0.30449321413566716,2.3091171274649955,0.8585821414569413,2.89,2.352056543345866
025,GOOGL,"Alphabet Inc.",32.495,2.2,29.2,-0.23036984917765105,-3,-1.1368560736557598,1.883931845405432,1.9916004361649946,1.1871474394425396,-2.210850144379469,-0.8117108860864697,1.8600592735370385,0.9742441532022952,3,3,,1.1179849218981943
026,TSM,"Taiwan Semiconductor Manufacturing Company Limited",32.481,2.18,45.25,2.1691465373757732,2.704396823042376,-1.593847641678452,2.066192259672757,1.9878797694979335,3,-3,-2.27624313823147,1.0723581219007614,0.775486622099011,3,3,2.29,-0.3871497607085573
027,GOOG,"Alphabet Inc.",32.268,2.16,29.96,-0.2567759804334681,-3,-1.1734967429276189,1.883931845405432,1.9916004361649946,1.1871474394425396,-2.2841694180463508,-0.756460980189412,1.8600592735370385,0.9742441532022952,3,3,,1.1179849218981943
028,SO,"The Southern Company",31.862,2.14,14.58,0.3852996473758488,-2.584869539942558,1.5530637277714594,-1.3003638523798915,1.9337832336852818,2.664000316794044,-0.7243760992011055,0.761282289803451,-1.2398988465787562,-1.2423203667161107,0.9158321736919038,0.01971515964985315,3,3
029,ENPH,"Enphase Energy, Inc.",31.783,2.12,206.69,-0.9335165121684454,-3,-3,3,1.951213309150651,0.604721698142035,-3,-3,3,3,3,3,,3
030,GMAB,"Genmab A/S",31.538,2.1,14.04,1.8382147715817303,1.1325225616994519,-0.8561472468021841,3,1.9976722556153115,1.4381449556877501,-3,-3,0.2794833484270633,1.6100271929668437,0.8084602900559452,3,,3
031,MCD,"McDonald's Corporation",31.335,2.09,11.67,0.0478646431684872,-3,0.38870734781278393,0.06073771686834828,2.2585824462999553,3,0.08420354735278668,0.3871125893868026,0.2807013162390867,-0.9533955808539822,0.3333665015125126,1.480953792322939,2.23,1.2025820548847315
032,ED,"Consolidated Edison, Inc.",31.02,2.07,6.48,1.0647945555209264,-0.7811259832814375,2.260778563586814,-0.45961002785515315,1.9572993666698175,2.130805428629884,0.2618832404289906,0.6342218177452148,-1.9271705604856888,-1.677914884453385,-0.7040702771382311,-0.16179964725602833,3,3
033,DXCM,"DexCom, Inc.",31.001,2.06,69.14,-3,-3,-2.129109048328098,2.770694087403599,1.9594324664023979,0.5307125307125304,-3,-3,3,1.693926773173181,3,3,,3
