Index,Symbol,Name,EgeriaScore,PortfolioWeight,YearlyReturn5YrAvg,P/E Ratio Norm,Price/Sales Norm,Beta Norm,Quick Ratio Norm,Debt/Equity Norm,EBIDTA Margin Norm,5 Year STD Norm,10 Year STD Norm,EBIDTA Avg Growth Rate Norm,Revenue Avg Growth Rate Norm,5 Year Return Norm,10 Year Return Norm
001,RS,"unkown",33.411,5.24,60.57,0.9535584907992746,0.9364733864696223,-0.4028720764490423,3,1.9928842443313521,-0.5650315077097645,-2.062289522061013,-1.1616855448846337,3,1.513505522610631,3,3
002,MSFT,"unkown",32.266,4.82,55.64,-1.1623390408405467,-3,-0.35303790184296246,1.0714457171936362,1.9800455817246378,3,-0.47727853621504934,-0.3310074920263997,0.13321230743017054,-0.17534482489972697,3,3
003,PCAR,"unkown",31.641,4.51,40.99,1.0279878700241754,0.08246085824308755,-0.5056893948620222,2.491566829268293,1.96858125299141,-0.044176340975990436,-0.8466328692906409,-0.9531979268485813,3,1.6669203728916826,3,1.7517412165430422
004,RSG,"unkown",31.066,4.27,30.9,-0.8695051407450171,-3,0.5924747682762643,-0.9909419861410023,1.9604135719909317,0.8727321327140897,0.5776898026125359,1.19129134966607,-0.04117846040518565,-0.22541790116286542,3,3
005,WRB,"unkown",29.156,4.07,30.68,0.7075172446565118,-0.23823519659235617,1.1441309810186806,,1.9202386072649589,,-1.0893629690334752,-0.11736386382766284,,-0.10985824573748423,3,3
006,RLI,"unkown",27.878,3.91,24.74,0.18978119288042336,-3,2.2761437537051497,,1.946704355245155,,-0.652406632073613,-0.9633871001283065,,0.5485976921606266,2.94773853418419,2.5495160086499715
007,WM,"unkown",27.655,3.77,25.17,-1.1322579089506177,-3,0.4179637741887049,-0.424988168480833,1.9248819353904099,0.7376872613335944,0.1378638584477443,0.9038668403492309,-0.44496337871317626,-0.9081452453309534,3,3
008,FDS,"unkown",27.149,3.66,21.83,-1.2343561235615137,-3,0.37462331649542213,0.8717297434594871,1.971072922904076,1.7759602507691097,-0.43077904901725006,-0.3602330045879878,-0.22928712528329634,-0.6346099753561443,2.366490452391642,3
009,MCD,"unkown",26.848,3.55,16.25,-0.08717096125082506,-3,0.45164660446845917,0.06073771686834828,2.2585824462999553,3,0.12343800220686063,0.4991703480989331,0.2807013162390867,-0.9533955808539822,1.2498649339644072,1.9883925787364538
010,V,"unkown",26.254,3.46,18.47,-0.7077742843142736,-3,-0.774009183872259,0.1302277253441857,1.9732703379547154,3,-0.18534616461191966,0.45837686227582974,0.11925027036422726,-0.1107160089150799,1.6933468425661562,3
011,BRO,"unkown",26.085,3.38,40.68,-0.3136726113379308,-3,0.10461445511811163,-0.8901127720954629,1.9666430056643005,1.6961240310077519,-1.305350192535042,0.130522451117856,0.8530233490800605,0.44759936108421955,3,3
012,OTTR,"unkown",24.769,3.31,17.93,1.1258241178658832,-1.602980616340589,1.1906571325836457,0.5020645215443071,1.975058149446364,1.6994854599063418,-1.374346461886386,-1.857249418452045,3,0.2574032316224013,1.5854630007846902,1.7559910375643926
013,MA,"unkown",24.765,3.25,22.76,-1.403703283293814,-3,-1.3331943452256068,-0.3718642400393508,1.8976735459662288,3,-0.7524582416197481,-0.02948466667605576,1.1795584993568433,0.602565758338016,2.551463791989269,3
014,GGG,"unkown",24.219,3.19,21.33,-0.6207457898406391,-3,0.03246733457058948,2.516143724696356,1.9955239959986062,1.1349613728510488,-0.4661327879807784,-0.6592898078124225,-0.36908107108011307,-0.9515447153946773,2.2658397346940777,2.1920997645638765
015,WSO,"unkown",24.177,3.13,43.49,-0.4935934034055195,-0.7675707364530501,-0.32693117385163284,0.8312556529946122,1.9900172882436804,-0.8606170406054999,-1.2145494898909988,-0.6786497825266657,2.426875544380215,-0.32010004123416314,3,3
016,MMC,"unkown",23.191,3.08,28.87,-0.2778146807194718,-3,-0.47370392179547915,-1.0122758272290984,1.9414978262652778,0.7784130893736801,-0.25625944978445236,0.788976525579395,0.31378397716709544,-1.0438273260979052,3,3
017,VMC,"unkown",22.78,3.03,28.96,-1.2919515912629058,-3,-0.07287466243604268,2.5656970912738215,1.981190902530935,0.6449498843484963,-1.2436458285361782,-1.6516450752132101,0.3372195967590336,0.49674100066895477,3,2.3210190252406453
018,UNH,"unkown",22.275,2.99,22.25,0.39727498337650585,1.0387983007816157,1.2699465256924702,-0.6149373069234962,1.9606108882779756,-1.0223937226536643,-1.0571505727479957,-0.21769379201092232,-0.41773426990648516,-0.3867410292594453,2.4492654047299265,3
019,ZTS,"unkown",21.711,2.95,19.13,-1.0714294054824351,-3,-0.29500511192787904,1.5394388565378505,1.9627976786071641,2.290730337078651,-0.7365221081511919,-0.8768378854275323,-0.828663016541816,-1.2569052466350807,1.8251352007716297,3
020,STE,"unkown",21.225,2.91,20.43,-1.5520514859898416,-3,0.03833782912605055,0.6377673917785587,1.9844182565715318,0.5779878033444635,-0.8520344147268935,-1.1480609758842997,1.390053375285813,0.8803811561687944,2.086857979223117,3
021,TPL,"unkown",20.919,2.88,24.2,-0.43677649634652777,-3,-3,3,1.9978297079359968,3,-3,-3,3,3,2.8401257140283986,3
022,AAON,"unkown",20.493,2.85,41.08,-1.2289398937116294,-3,-0.5283787242840021,0.8968907052521122,1.9943904986779541,0.35160262828642763,-2.5700321815807516,-2.0629425770316336,3,3,3,3
023,LLY,"unkown",20.422,2.81,113.3,-3,-3,2.353119238083849,-0.954765289522665,1.9013310558025975,0.5107768410009345,-2.0415262930476006,-0.8829577965220183,-0.035455174513374745,-0.6169783373505936,3,3
024,ABBV,"unkown",20.11,2.79,37.71,-3,-3,1.2015645018101684,-0.7330673079464074,1.7600115830115832,1.1613829669722742,-1.2357413393485883,-1.113240664916746,0.6208652060154591,-1.6960521880703392,3,3
025,ALL,"unkown",19.888,2.76,17.78,3,1.926770033543452,1.5005599596867365,,1.9035092853123243,,-1.740107569543759,-0.13120494137995475,,-0.7736674267053342,1.5553479685822873,1.329601909263075
026,MCK,"unkown",19.743,2.73,76.89,0.06942438724069078,2.8274531640045613,1.7326383055416887,-0.9954334090956483,2.687237479806139,-1.8528055826418048,-1.0109487313745733,-1.2192436241979996,3,-1.7507700215188904,3,0.8818583539279836
027,COST,"unkown",19.653,2.71,48.93,-2.3404548729396013,0.8285319039472905,0.21506160780505323,-0.9566745079355627,1.964932556468992,-1.5474085291387818,-0.158287431020935,0.31743391020050993,-0.13152757150658695,-0.3277977116200372,3,3
028,AJG,"unkown",19.509,2.68,48.26,-2.9442088826439097,-3,0.5906677496759244,-1.6936651569144399,1.9242703219399926,0.16274982873142108,-0.4539898131408302,0.28184380596809344,0.37341701945317285,-0.3954791538449964,3,3
029,TMO,"unkown",19.054,2.66,27.56,-1.3405256589813468,-3,0.04414814839818593,0.532258064516129,1.9777965122499197,0.5851086170287234,-0.9199356711938451,-0.10236456384945836,-2.0672042693524277,-0.8886527940299868,3,3
030,DHR,"unkown",18.63,2.64,26.23,-1.4380483024989352,-3,-0.16101050917703863,0.3654822335025383,1.9884089294394796,1.1377145249058185,-1.3635027446331112,-0.24342713533762161,-0.756215939062234,-2.440702988959031,3,3
031,ADI,"unkown",18.608,0.0,20.0,-0.9726806867328037,-3,-1.787564861987745,-0.4830884128597228,1.9925604888969592,2.8062226647222097,-1.8676575750092788,-1.4541908179112113,3,3,2.0001981184047173,2.9354116138411555
032,AVGO,"unkown",18.522,0.0,94.82,-1.4336599092237157,-3,-2.2846915972710957,2.6841323430114787,1.9592521260630316,3,-2.4751299771600683,-2.9283819320781834,1.7086696308398686,-0.08345571397815803,3,3
033,CSL,"unkown",18.512,0.0,42.02,0.12162100030521648,-3,-0.4567433521586661,0.009609710865716714,1.973199010250972,0.4536527886881381,-2.0949032100879235,-0.9144423906231136,2.1928291725851374,-1.4766106931761767,3,3
034,MSCI,"unkown",18.291,0.0,42.92,-1.2766474083051247,-3,-1.320493265348297,-0.28958652626027925,2.1691886331316472,3,-2.2971448033259483,-1.4246367152920216,1.337930402683498,-0.130927181253659,3,3
035,MLM,"unkown",18.269,0.0,42.42,-0.6905288040931271,-3,-0.6646189338483455,1.4611177576482652,1.982349997510332,1.2038304904680397,-1.4058714018651068,-2.3702215793257846,0.21771303632220337,-0.4491794462812173,3,3
036,LIN,"unkown",18.211,0.0,38.17,-1.1325567593030121,-3,-0.6922052154233171,-0.7585417064325253,1.9800020140986907,1.7185730809033906,-0.5137546575144327,0.2162115080135969,-0.24891692919398026,-1.6765615475246194,3,2.3347408076227194
037,ERIE,"unkown",18.091,0.0,31.57,-1.7465553398521216,-3,1.9609003497998252,,1.9902680783120394,,-2.6942387640789294,-1.228840308783198,,-1.217089398798004,3,3
038,GWW,"unkown",18.086,0.0,50.8,-0.20063100479991428,-2.160414150855874,-1.658282902818865,1.115237575095576,1.969784911717496,-0.2965165675446049,-1.2754195239619985,-1.2271423958641048,3,-0.6311252513396891,3,2.7058357175323007
039,CHE,"unkown",17.888,0.0,20.17,-1.0387702612121663,-3,1.9096802095519363,0.8551129626662393,1.9898866118590888,-0.1702133485131052,-0.4605674968453215,-0.6934218835634898,-3,-2.4178450852263627,2.0334248036687184,3
040,COR,"unkown",17.851,0.0,45.55,-0.13626536910153536,2.932431502273851,1.7877437681236001,-1.0342136598819467,-0.3713449539562032,-1.8634609312726549,0.061475112516630404,-0.9030040252377018,0.30558315205051445,-0.7286960877690405,3,1.995418997758527
041,SIGI,"unkown",17.483,0.0,13.67,0.6329977742786141,0.48435454199358496,1.274367219462187,,1.9401013951822734,,-1.413053686444277,-0.9901942038012512,,-0.34150012736413515,0.7348448085014627,3
042,CASY,"unkown",16.88,0.0,27.73,0.07787860954433642,1.8240906901764737,-0.17776493362076928,-0.8722923014695969,1.9753249449573902,-1.307630394630127,-1.8075628813817417,-0.28185302436081816,-0.2332164202348288,1.0127972968382017,3,3
043,MSI,"unkown",16.876,0.0,30.97,-0.7885837294103998,-3,-0.5035223387827753,-0.3804044630404464,1.6520165745856354,0.770818719310552,-1.2728718251654243,-0.28080996153648563,-0.10866408555465626,-0.9179532109184965,3,3
044,DDS,"unkown",16.826,0.0,100.67,1.4499681482282383,1.4713928601627777,-0.899688867369916,-0.00645198093976318,1.9783501705827087,-0.31266002940084775,-3,-3,3,2.5039486612758166,3,3
045,ODFL,"unkown",16.791,0.0,69.55,-1.26777248391433,-3,-1.1598767595994341,1.852406464239945,1.9941069155018858,1.3628330803565947,-2.5182577033547275,-2.236162259661108,1.2066838204831463,-0.08557257429268965,3,3
046,BMI,"unkown",16.488,0.0,37.13,-2.4766320094486742,-3,-0.2582706443677757,2.1726892412162364,1.9922383742318224,0.07547840225585273,-2.4077898898235643,-2.0945420908253443,0.5521932822452854,0.671494737882471,3,3
047,LSTR,"unkown",16.345,0.0,17.55,-0.09611655093583053,0.9292063347883889,-0.17838612859024772,1.9329318863073586,1.9833742477815846,-1.2605370746863946,-0.37564028716579045,-0.2517133979256778,0.36756974054540026,-0.1169457136732035,1.509462725727974,1.366886627309744
048,NUE,"unkown",16.231,0.0,50.7,1.3005763946773412,0.8083070644737114,-3,2.3896259643848774,1.9873769390172236,0.24710466397497605,-3,-3,3,2.2372955464900586,3,3
049,ICE,"unkown",16.111,0.0,20.84,-0.8117485478356316,-3,-1.1059497560875253,-1.9035993666249142,1.9142217210405568,2.9651620720993637,-0.11665256508065625,-0.06508592095647092,2.1320532453086054,-1.7277518198388477,2.1682876026319997,1.6672185670187825
050,MPWR,"unkown",16.08,0.0,90.9,-3,-3,-2.1274431608337663,3,1.9962495079121865,0.8659163393869107,-3,-3,3,3,3,3
051,FCFS,"unkown",15.88,0.0,8.87,0.03442313321171759,0.1889611965120361,1.0844131928114946,2.676434479963765,1.9770238797686657,0.8767978638211354,-2.148185883163551,-1.2862456213289217,3,2.351192965449915,-0.22614783876111091,-0.10953013051384573
