Index,Symbol,Name,EgeriaScore,PortfolioWeight,YearlyReturn5YrAvg,P/E Ratio Norm,Price/Sales Norm,Beta Norm,Quick Ratio Norm,Debt/Equity Norm,EBIDTA Margin Norm,5 Year STD Norm,10 Year STD Norm,EBIDTA Avg Growth Rate Norm,Revenue Avg Growth Rate Norm,5 Year Return Norm,10 Year Return Norm,Yield Norm,Free Cashflow Growth Norm
001,NVO,"Novo Nordisk A/S",49.939,4.98,90.56,1.6202592770029287,-1.2118960642751537,1.9114901182839763,-0.7564056467537061,1.960975403759349,2.975307950968953,-0.6224395974344494,-0.732026390434716,1.793161249438601,1.5230582643174124,3,3,1.63,3
002,VRTX,"Vertex Pharmaceuticals Incorporated",38.776,4.58,25.61,-0.3986792960639058,-3,2.175705722591745,3,1.9941414302291187,2.666234345235682,-1.226783621921916,-2.4110205170512478,0.1179545476925103,0.36470620948202637,3,3,,-1.2026876839125855
003,DE,"Deere & Company",34.305,4.29,31.14,1.196257923256155,-0.22526615080858298,-0.9206751270149732,1.2706993960646797,1.9245343126004133,0.9394619585245734,-2.3228030536363935,-1.0778481347857172,3,1.0392373668477006,3,3,1.35,3
004,MSFT,"Microsoft Corporation",33.519,4.06,47.16,-1.1182736751999383,-3,-0.34923073815718797,1.0714457171936362,1.9800455817246378,3,-0.4490320122886926,-0.29350164311618077,0.13321230743017054,-0.17534482489972697,3,3,0.95,-0.9036562733588109
005,TSM,"Taiwan Semiconductor Manufacturing Company Limited",32.957,3.87,45.25,2.1691465373757732,2.704396823042376,-1.593847641678452,2.066192259672757,1.9878797694979335,3,-3,-2.27624313823147,1.0723581219007614,0.775486622099011,3,3,2.29,-0.3871497607085573
006,V,"Visa Inc.",27.903,3.72,14.86,-0.6265961849848182,-3,-0.7997408965184355,0.1302277253441857,1.9732703379547154,3,-0.18577760072065175,0.7067673228368285,0.11925027036422726,-0.1107160089150799,0.9729251179219943,3,0.64,2.5286026932571053
007,WM,"Waste Management, Inc.",26.756,3.59,22.57,-1.1286860012713777,-3,0.278073198538229,-0.424988168480833,1.9248819353904099,0.7376872613335944,0.14062090759193602,1.0760872489952926,-0.44496337871317626,-0.9081452453309534,2.513065331351225,3,1.67,-2.260207766611065
008,GOOGL,"Alphabet Inc.",26.163,3.48,29.2,-0.23036984917765105,-3,-1.1368560736557598,1.883931845405432,1.9916004361649946,1.1871474394425396,-2.210850144379469,-0.8117108860864697,1.8600592735370385,0.9742441532022952,3,3,,1.1179849218981943
009,GGG,"Graco Inc.",25.732,3.38,15.16,-0.48419011415526125,-3,0.06389875541273904,2.516143724696356,1.9955239959986062,1.1349613728510488,-0.4363277616034793,-0.30768025106841623,-0.36908107108011307,-0.9515447153946773,1.0314129852341274,2.11808839854363,1.17,3
010,UNH,"UnitedHealth Group Incorporated",25.183,3.29,25.92,0.34056722934542355,0.9704936125247496,1.0809613748058815,-0.6149373069234962,1.9606108882779756,-1.0223937226536643,-1.4141536790853078,0.17148373141765916,-0.41773426990648516,-0.3867410292594453,3,3,1.37,-1.2504255964685753
