Index,Symbol,Name,EgeriaScore,PortfolioWeight,YearlyReturn5YrAvg,P/E Ratio Norm,Price/Sales Norm,Beta Norm,Quick Ratio Norm,Debt/Equity Norm,EBIDTA Margin Norm,5 Year STD Norm,10 Year STD Norm,EBIDTA Avg Growth Rate Norm,Revenue Avg Growth Rate Norm,5 Year Return Norm,10 Year Return Norm,Yield Norm,Free Cashflow Growth Norm
001,BRO,"Brown & Brown, Inc.",27.925,4.18,34.29,-0.23301316825153714,-3,-0.03074127139187477,-0.8901127720954629,1.9666430056643005,1.6961240310077519,-1.2950513215282662,0.49791634766161774,0.8530233490800605,0.44759936108421955,3,3,0.72,-0.272276158614795
002,MCD,"McDonald's Corporation",26.244,3.84,11.67,0.0478646431684872,-3,0.38870734781278393,0.06073771686834828,2.2585824462999553,3,0.08420354735278668,0.3871125893868026,0.2807013162390867,-0.9533955808539822,0.3333665015125126,1.480953792322939,2.23,1.2025820548847315
003,ABBV,"AbbVie Inc.",24.553,3.6,33.56,-3,-3,1.1080475475715628,-0.7330673079464074,1.7600115830115832,1.1613829669722742,-1.2379065986690758,-1.2214063108303082,0.6208652060154591,-1.6960521880703392,3,3,3,-0.8517371182051896
004,NUE,"Nucor Corporation",23.219,3.41,53.04,1.2711804613009394,0.7316736250879943,-3,2.3896259643848774,1.9873769390172236,0.24710466397497605,-3,-3,3,2.2372955464900586,3,2.948541451794534,2.15,3
005,GWW,"W.W. Grainger, Inc.",23.166,3.25,49.16,-0.12955264787546678,-2.002625202179075,-1.7936856696631454,1.115237575095576,1.969784911717496,-0.2965165675446049,-1.2148626482677471,-0.9852897173649442,3,-0.6311252513396891,3,2.5484079372140473,1.43,2.2552604326276784
006,ED,"Consolidated Edison, Inc.",20.948,3.12,6.48,1.0647945555209264,-0.7811259832814375,2.260778563586814,-0.45961002785515315,1.9572993666698175,2.130805428629884,0.2618832404289906,0.6342218177452148,-1.9271705604856888,-1.677914884453385,-0.7040702771382311,-0.16179964725602833,3,3
007,NEE,"NextEra Energy, Inc.",20.712,3.01,10.89,0.560341008755491,-3,1.3920228554488183,-1.375603476021886,1.9495571753602428,3,-1.728037351183712,0.05619972853805333,2.9512833503885574,0.4515429462470344,0.17811781046391417,1.3400696671986836,2.2,-3
008,LIN,"Linde plc",20.384,2.92,33.84,-1.0189345970677335,-3,-0.8202158998886883,-0.7585417064325253,1.9800020140986907,1.7185730809033906,-0.5700308222524253,0.3212456162915913,-0.24891692919398026,-1.6765615475246194,3,2.1550142129884233,1.49,0.16407973669894388
009,CAT,"Caterpillar Inc.",18.412,2.84,36.64,0.6163767262158236,-1.7475412448012888,-1.5252314650236287,-0.5142824234047454,1.9302626449163844,0.341932597673725,-3,-1.89380376655226,3,0.43508212483779685,3,2.7266781964555533,2.32,3
010,PEP,"PepsiCo, Inc.",15.844,2.76,11.97,-0.24592516338756412,-1.6743276511408105,1.341097168322422,-0.6843618668436187,1.9115192131005783,-0.2777055022903435,1.0491199718643989,1.573634599855481,-1.3738917165195677,-1.1654752183472912,0.3948081679147654,0.3413713346240657,2.74,-0.9162422275872171
011,CB,"Chubb Limited",15.81,2.7,19.87,1.181371432908318,-0.5796947451204264,0.7303496810622756,,1.9438751743492362,,-1.4665127025547244,0.07027547301878911,,-0.7043409713446916,1.9737618631225156,0.7273172352153191,1.84,-1.1917098172723872
012,WST,"West Pharmaceutical Services, Inc.",15.338,2.64,46.0,-2.1109091134409383,-3,-1.069785332306038,2.066388806192319,1.9934154807358555,0.8622279476574685,-3,-1.772397398472016,1.4037302158705884,-0.5983824445052353,3,3,0.26,-0.45697171857183216
013,ROP,"Roper Technologies, Inc.",15.054,2.59,11.56,-1.6431810741304835,-3,-0.9643661812740351,-1.191212203023758,1.9877067091626157,2.3105960050503414,-0.6838536383486566,0.41800312202378276,0.9073991022386402,0.0870852053223885,0.3129588834365714,2.4563190579796266,0.52,3
014,PG,"The Procter & Gamble Company",14.565,2.54,15.25,-0.18841379654309742,-3,1.9363138694333433,-1.2327441548271618,1.968461423349082,0.7254342136569114,0.9612028739880785,1.3829492027348724,-2.1613447355429987,-2.006793475328311,1.0493938861729293,0.20826842140264717,2.43,-3
015,ATO,"Atmos Energy Corporation",14.119,2.5,6.81,0.4707415562688555,-3,0.6542097043825934,-1.4706814767498255,1.9785706799886367,2.644397269239192,0.1684334699706289,1.0003738189039209,-0.8879209768653379,0.056325675362245774,-0.6387719908851744,0.662782474764194,2.38,-0.089908417650636
016,KO,"The Coca-Cola Company",10.531,2.46,9.34,-0.02508570213144582,-3,1.0175469523895924,-0.5513554791905306,1.945859450291045,1.4110678847751013,0.3920697244834175,1.4035679351869441,-1.4197346352010858,-0.6845164730070049,-0.1316564016620694,-0.6104864892751944,3,-1.8789627509555653
017,SPGI,"S&P Global Inc.",10.279,2.42,19.97,-2.4250261766893844,-3,-1.7397224967878833,-0.6475102040816327,1.986848538011696,2.1193886532767863,-1.1571028061322348,-0.5082617886184622,-0.609391177558291,0.8678910424958588,1.9934458476472598,3,0.84,-2.032906271958006
018,ADP,"Automatic Data Processing, Inc.",9.949,2.39,13.16,-0.4036469132571666,-3,0.06503645576644235,-1.7618243717206483,1.7294924624547605,1.115837477862837,-0.8481561692835475,-0.2754940321592816,-0.6432317841704733,-1.5966556662901144,0.6312950698703343,2.770458860507459,1.99,0.23869031463805043
019,WMT,"Walmart Inc.",9.781,2.35,17.97,1.2710696450103485,2.795133716628621,1.5660353139267196,-1.5961045284856354,1.9614056593649014,-1.4386268081002895,0.27373537172351803,0.698137829847699,-2.38329851383807,-1.9875486810802407,1.5937469142789706,0.46896848085792425,1.61,-3
020,EXPD,"Expeditors International of Washington, Inc.",9.228,2.32,10.28,0.1937078492827642,-0.05505909701729142,-0.7581960158259721,1.5736453392724292,1.9821582948103835,-0.8305643696687459,-0.9519901362181296,-0.03756552538482438,0.24505620110678591,-0.9871057917569139,0.05602101423340713,0.9575484305818646,1.17,3
021,O,"Realty Income Corporation",8.353,2.3,0.02,-1.7736975200853582,-3,-0.753241745075216,0.9899323694288875,1.9850204679712655,3,-2.034129100379734,-0.4298822724768767,3,3,-1.9962689495151182,-0.6057576633768298,3,3
022,AOS,"A. O. Smith Corporation",7.983,2.27,13.86,0.07082672097470501,-3,-1.8042476779266714,0.029831799428752692,1.985149642160052,0.13818521594684385,-1.6277928216692965,-1.1115883795032975,3,-0.93739616874125,0.772289943362378,2.3806230070484746,1.77,0.6590335654513908
023,GD,"General Dynamics Corporation",7.776,2.25,16.09,0.022799405493847073,-0.21939116009324405,0.8844537905110617,-0.4281888997078871,1.9685327949669,-0.758989401968206,-0.4386577091308732,0.23316759962917555,-2.815192465941283,-2.257132072403256,1.2180714818607186,1.0047257273660428,2.36,-1.0474793515595124
024,ITW,"Illinois Tool Works Inc.",7.655,2.22,15.63,-0.12223117858804933,-3,-1.614203896115427,-0.15358288770053474,1.916965471447543,0.7838827838827839,-0.34248764027252054,0.30320895598784237,-0.8433344998245513,-1.2482815954835356,1.126786740158912,1.5809818960752575,2.27,-0.8089476806340066
025,CINF,"Cincinnati Financial Corporation",6.659,2.2,11.7,1.2817825277059451,-0.27087154394283447,0.7460773659031744,,1.9658274094891717,,-3,-0.8624570019409923,,0.2320598959968109,0.33921514649355317,1.0539975235863253,2.52,-0.5256869249349897
026,JNJ,"Johnson & Johnson",6.388,2.18,4.43,1.28600959158602,-3,1.4525518813167764,-0.17147055010587264,1.971272864745398,0.6292704951516842,0.8492749374374435,1.3798599305301864,-0.9558426297147257,-2.773672914828577,-1.113818315654097,-0.727797548793918,2.67,-3
027,CHD,"Church & Dwight Co., Inc.",6.269,2.16,10.63,-0.9531521735568959,-3,1.3895929783240413,-0.7744022503516175,1.9755470249520153,0.22140799945466,-0.3000003251446808,0.6370212106631143,-1.195724126265628,-1.75043768691163,0.1254026568404356,1.4152991439784879,1.17,-3
028,CVX,"Chevron Corporation",6.182,2.14,13.1,0.930072160175761,0.4145840069302565,-1.529419215510378,-0.25506851013702025,1.9876112253583256,0.4282297258180007,-2.35584278973354,-1.3917933196212902,3,3,0.6194747787275952,-0.6935757243095251,3,3
029,XOM,"Exxon Mobil Corporation",6.057,2.12,17.28,0.9976560260782474,0.5843933013931066,-0.4936044157432723,0.12976912242023397,1.9840061132215505,0.21911161438554871,-3,-1.1485377858554529,3,2.5322556717305558,1.4559386729128045,-0.868808070434213,3,-3
030,CTAS,"Cintas Corporation",5.786,2.1,45.65,-1.9852233115975584,-3,-2.4644910085600547,0.0765489869616327,1.9757640426233427,0.5794846437639523,-2.230909574526426,-0.16520588819208992,-0.44010959856354503,-1.4632100917906459,3,3,0.99,-1.738573998774807
031,ABT,"Abbott Laboratories",5.342,2.09,10.63,-0.7873000994452654,-3,0.28818800525582444,0.3264215013366085,1.9821842861953736,0.6288364207534469,-0.39295654749577835,0.3757224306811633,-1.3281143092183776,-1.8207522884517804,0.1267495892163214,1.1445583317603822,1.59,-2.5900395290766163
032,NDSN,"Nordson Corporation",4.509,2.07,16.93,-0.5765140734491329,-3,-0.7602505693824613,0.42768373908457313,1.9795716034271726,1.0640376140740482,-1.5734215532877522,-1.6908529640797534,-0.11290130841541597,-1.4998158671269506,1.3866866749178712,1.8777590222333318,0.92,-0.6871420986522206
033,AFL,"Aflac Incorporated",4.31,2.06,18.59,1.2699144794107515,-1.543076093011717,-0.7025975227870196,,1.90471776211053,,-1.8737207103999731,-0.3913894250069889,,-3,1.7189108197056526,1.1908932190945911,2.37,-3
034,LOW,"Lowe's Companies, Inc.",3.966,2.04,24.4,0.6445374740047732,0.40377476384338395,-1.412266258789061,,2.075541528239203,-0.4275724738353248,-2.2195547819279033,-1.8583404745295837,-1.4831544290370149,-3,2.8796684485413904,3,1.69,-3
035,IBM,"International Business Machines Corporation",3.115,2.03,14.49,0.15887782591049848,-1.790332744186149,0.5894606033788918,-0.3941738467850653,1.9000328407224958,0.3752404662215683,-1.5394154689451156,-0.33927529000268564,2.5793337974754857,-2.2215601952725934,0.8989068506356176,-1.3127777660543387,3,-3
036,CL,"Colgate-Palmolive Company",1.276,2.01,8.84,-0.6950583539339272,-3,2.040327453908092,-0.9234338747099768,1.4930706075533662,0.18224803412653534,0.8815408142974182,1.2700751951689715,-3,-1.8536771354062864,-0.23105198397139332,-1.0745287769634162,2.36,-2.0513681404817286
037,KVUE,"Kenvue Inc.",0.0,2.0,-5.01,
038,CAH,"Cardinal Health, Inc.",-0.084,1.99,32.54,-1.4247348939951676,3,0.6378674265699996,-1.086987479973892,2.324460028050491,-1.9124673834594814,-1.754314423629852,-1.0726729803972628,-3,-0.9391999579931614,3,-0.677298975097807,3,0.268253744257423
039,SHW,"The Sherwin-Williams Company",-0.294,1.98,22.16,-0.8172113571361933,-3,-1.8428915493021614,-1.1716488856026195,1.8964497550998438,-0.19975793752358806,-1.6170683134713668,-0.7989203565490239,-1.436082275891231,-1.416684816989077,2.43137770009644,3,0.85,-0.6729455926177395
040,ADM,"Archer-Daniels-Midland Company",-1.0,1.97,13.49,1.3435256962388744,2.593905557231261,0.4702977993351004,-1.1572178758975458,1.9749991712249295,-1.361260446053122,-1.8638069488759719,-0.7398018285519878,1.5824560145019873,-0.06058521257200518,0.6975614033402371,-0.8843444679816826,2.62,-3
